,Date,User,Tweet
75,2019-05-17 13:03:00+00:00,databaaz,"In the final phase of #LokSabhaElections2019, @INCIndia candidate Ajay Rai will face off against PM @narendramodi. Its PM Modi's 2nd Lok Sabha election from Varanasi while its Ajay Rai's 3rd election. In 2009, Rai contested from here on an SP ticket. #LokSabhaElections2019 https://t.co/HEUtcDelPd"
76,2019-05-17 12:55:03+00:00,SocioPoliticalW,"A new word in the field of #journalism:
Press-Darshan: an event where journalist will be invited to show (Darshan) the body of a living person &amp; not to be allowed to ask any direct question to that person. 
#Pressconference #Modi #AmitShah @RahulGandhi 
#LokSabhaElections2019"
77,2019-05-17 12:48:27+00:00,Surasen3,"#LokSabhaElections2019

PM Modi challenges @RahulGandhi Gandhi to prove allegati…: https://t.co/JJYcwiPAoP"
78,2019-05-17 12:42:28+00:00,uniindianews,"Demonetisation was a unilateral decision of PM: Rahul
@RahulGandhi
@INCIndia
#Demonetisation
#LokSabhaElections2019
#Solan
https://t.co/gG7labjvqC https://t.co/NHya49ADP6"
79,2019-05-17 12:29:55+00:00,sbajpai2811,"I don't want Rahul to do any favour to me. Cong Prez should tell people whatever he knows about my parents

@narendramodi @BJP4India #LokSabhaElections2019 
#BharatKaGauravModi
ModiOnBharat
#ModionNews24
https://t.co/CmG037xSKm"
80,2019-05-17 12:25:00+00:00,timesofindia,"Congress dismantled idea of Narendra Modi: @RahulGandhi 

Read: https://t.co/cZSykmZRPC

#ElectionsWithTimes  #LokSabhaElections2019 https://t.co/X8dnhjeiAc"
81,2019-05-17 12:21:43+00:00,sandipkale82,"Narendra modi took 142 conferences : amit shah @AmitShah @narendramodi_in @narendramodi #Conference #BREAKING #News1st #BreakingNews
 #FridayThoughts 
#FridayFeeling #FridayMotivation  #BreakingNews #PoliticsLive #LokSabhaElections2019 
https://t.co/4I2vD66gL2"
82,2019-05-17 12:21:29+00:00,YINBuzzz,"Narendra modi took 142 conferences : amit shah @AmitShah @narendramodi_in @narendramodi #Conference #BREAKING #News1st #BreakingNews 
 #FridayThoughts 
#FridayFeeling #FridayMotivation #FridaysForFurture #BreakingNews #PoliticsLive #LokSabhaElections2019 
https://t.co/o930uZt7PE"
83,2019-05-17 12:20:45+00:00,Inkhabar,"Rahul Gandhi Attacks Narendra Modi in Press Conference: राहुल गांधी ने लोकसभा चुनाव प्रचार के आखिरी घंटे में प्रेस कॉन्फ्रेंस कर बीजेपी पर साधा निशाना, कहा- कांग्रेस ने नरेंद्र मोदी के आइडिया को खत्म कर दिया 
@RahulGandhi @INCIndia #LokSabhaElections2019 https://t.co/zingOWSU0r"
84,2019-05-17 12:08:18+00:00,htTweets,"‘I have a question’: @RahulGandhi  on PM Modi’s ‘unprecedented’ press briefing

https://t.co/FplWWRKVzA

#LokSabhaElections2019 #ElectionsWithHT https://t.co/9DCp5jCLMr"
85,2019-05-17 12:04:47+00:00,TPINewz,Phir Ek Baar Modi Sarkar PM Roars In Madhya Pradesh https://t.co/yHG9pOQ3Ec #PhirEkBaarModiSarkaar @narendramodi @BJP4India #LokSabhaElections2019 https://t.co/HXN5pp38sF
